,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
31,-0.34,Tue Mar 27 21:12:05 +0000 2018,0.146,0.854,0.0,CNN,Why dismissing Stormy Daniels' story would be a mistake | By Carol Costello via @CNNOpinion https://t.co/Rw77AFywo2 https://t.co/sPuNqi1TOF
32,-0.0258,Tue Mar 27 21:08:05 +0000 2018,0.076,0.853,0.072,CNN,"RT @TheLeadCNN: Rep. Lieu: I support US move to expel Russian diplomats, but we have a long way to go for the Trump Administration to “[sto…"
33,-0.5423,Tue Mar 27 21:05:09 +0000 2018,0.171,0.829,0.0,CNN,"Tesla stock slid 8% following a string of bad news, including the NTSB's announcement that it's investigating a fat… https://t.co/8v3hjShQv4"
34,-0.4404,Tue Mar 27 20:56:02 +0000 2018,0.146,0.854,0.0,CNN,"Facebook's stock has plunged 18% amid its data scandal, wiping out nearly $80 billion in market value… https://t.co/Y7l6pDeZwJ"
35,0.3773,Tue Mar 27 20:51:43 +0000 2018,0.044,0.856,0.1,CNN,"RT @TheLeadCNN: Rep. Lieu: People need to have faith that the census data is accurate, “and if you’re an immigrant, you might not want to t…"
36,0.0,Tue Mar 27 20:51:04 +0000 2018,0.0,1.0,0.0,CNN,"Israeli Prime Minister Benjamin Netanyahu hospitalized for a high fever and cough, his office says… https://t.co/nobdnlqqEi"
37,0.0,Tue Mar 27 20:46:05 +0000 2018,0.0,1.0,0.0,CNN,"Nvidia is temporarily pausing its self-driving car tests on public roads a week after a car from Uber, which incorp… https://t.co/VzWph7rVGz"
38,0.2755,Tue Mar 27 20:41:37 +0000 2018,0.0,0.869,0.131,CNN,"Secretary Zinke, we can't afford to ignore diversity | By Andre Perry via @CNNOpinion https://t.co/Z0mq8ZggbN https://t.co/npCcdgkRrl"
39,0.0,Tue Mar 27 20:37:42 +0000 2018,0.0,1.0,0.0,CNN,US Ambassador to the UN Nikki Haley on Russia: Their “blatantly false narratives will not keep us from telling the… https://t.co/FMnyi5lmL6
40,0.5667,Tue Mar 27 20:30:39 +0000 2018,0.0,0.845,0.155,CNN,"The Dow drops about 345 points, completely reversing a 244-point gain from early in the day, as tech stocks get cru… https://t.co/dwEBWWjmkA"
41,0.5574,Tue Mar 27 20:21:37 +0000 2018,0.0,0.714,0.286,CNN,The US Supreme Court prepares for a right turn https://t.co/5XsbK13Nhx https://t.co/RS21gJQV4X
42,-0.2732,Tue Mar 27 20:13:57 +0000 2018,0.11,0.89,0.0,CNN,Apple co-founder Steve Jobs warned about privacy issues in tech at a conference in 2010. Facebook's Mark Zuckerberg… https://t.co/cMxBuIZItP
43,0.1027,Tue Mar 27 20:11:06 +0000 2018,0.104,0.769,0.126,CNN,"A group of fair housing organizations have filed a lawsuit against Facebook, alleging that its advertising platform… https://t.co/3MfFvBLey6"
44,0.0516,Tue Mar 27 20:06:04 +0000 2018,0.127,0.735,0.137,CNN,Washington apples and cherries are caught in the trade fight between the United States and China… https://t.co/9jyta5qzmx
45,0.0,Tue Mar 27 20:03:47 +0000 2018,0.0,1.0,0.0,CNN,"RT @CNNMoney: Dow drops 345 points, reversing an earlier rally. Nasdaq plunges 2.9% on tech sell-off. Nvidia, Facebook tumble. https://t.co…"
46,-0.296,Tue Mar 27 19:58:07 +0000 2018,0.128,0.872,0.0,CNN,"Not enough was done to stop Russian trolls, former CIA Director Michael Hayden says https://t.co/IWNEqtVw7A https://t.co/PF0CiO23j4"
47,-0.4215,Tue Mar 27 19:55:30 +0000 2018,0.135,0.865,0.0,CNN,RT @CNNMoney: Dow drops 450 points as tech stocks get crushed. The selloff follows Monday's 690-point spike. https://t.co/4FuWC7XE3O https:…
48,0.0,Tue Mar 27 19:53:04 +0000 2018,0.0,1.0,0.0,CNN,Watch former President George W. Bush bust a move on the dance floor https://t.co/QNH2dfEQOT https://t.co/8JWDbQdLQi
49,0.0,Tue Mar 27 19:52:19 +0000 2018,0.0,1.0,0.0,CNN,Fasten your seatbelts. Wall Street is on another wild ride. https://t.co/CvcVsLahUZ
50,-0.3612,Tue Mar 27 19:47:32 +0000 2018,0.098,0.902,0.0,CNN,RT @CNNMoney: The Dow has fallen more than 400 points after rising more than 200 points earlier. We're watching the markets live on a rolle…
51,-0.6908,Tue Mar 27 19:46:03 +0000 2018,0.299,0.701,0.0,CNN,Russian President Vladimir Putin's missteps over the Russian spy murder https://t.co/af6zPuDdnd https://t.co/xMJN5CRN4G
52,0.4215,Tue Mar 27 19:39:07 +0000 2018,0.0,0.851,0.149,CNN,US Ambassador to the United Nations Nikki Haley berates Russia and UN colleagues over Syria https://t.co/TDXyIf7w2E https://t.co/3SDybcWC2M
53,0.1027,Tue Mar 27 19:33:01 +0000 2018,0.0,0.903,0.097,CNN,Thinking of freelancing? Here's what the new tax law does for you https://t.co/ZX8iOVkwDl https://t.co/8yfDGS3Qld
54,0.0,Tue Mar 27 19:31:04 +0000 2018,0.0,1.0,0.0,CNN,How Gina Haspel is trying to overcome her past to become the next CIA director https://t.co/Hupze3SL5g https://t.co/tZuyAth9D6
55,0.0,Tue Mar 27 19:26:04 +0000 2018,0.0,1.0,0.0,CNN,Quickly catch up on the day's news https://t.co/vYRj1WjUeO https://t.co/df9LJv9R5F
56,0.0,Tue Mar 27 19:24:03 +0000 2018,0.0,1.0,0.0,CNN,President Trump has privately floated the idea of funding construction of a border wall with Mexico through the US… https://t.co/ImTXba0XRY
57,0.0,Tue Mar 27 19:19:03 +0000 2018,0.0,1.0,0.0,CNN,"In Trump's world, once you check in you rarely check out https://t.co/jE3V3i1KT2 https://t.co/DG5xRFRsGV"
58,0.5267,Tue Mar 27 19:15:26 +0000 2018,0.0,0.861,0.139,CNN,"RT @CNNPolitics: Sanders on retired SCOTUS Justice John Paul Stevens calling for the Second Amendment to be repealed: ""The President and th…"
59,0.1477,Tue Mar 27 19:13:45 +0000 2018,0.0,0.915,0.085,CNN,White House press secretary Sarah Sanders on Jimmy Carter's statement that most people want a president with basic… https://t.co/u2W0Bd4JQ7
60,-0.34,Tue Mar 27 19:12:03 +0000 2018,0.179,0.821,0.0,CNN,"Fire service 2 hours late to Manchester bombing scene, report finds https://t.co/KxQvSS47Ht https://t.co/b0zgunz322"
61,-0.5574,Tue Mar 27 19:08:08 +0000 2018,0.167,0.833,0.0,CNN,White House press secretary Sarah Sanders says President Trump has spoken with Rob Porter once since his departure… https://t.co/xIy7nrsWvt
62,0.296,Tue Mar 27 19:05:06 +0000 2018,0.0,0.82,0.18,CNN,"""Dancing With the Stars"" pros share first wedding photo https://t.co/yQpnus99lQ https://t.co/gWeNSS1tbC"
63,0.0,Tue Mar 27 19:04:26 +0000 2018,0.0,1.0,0.0,CNN,White House press secretary Sarah Sanders says President Trump “still has plans to look at potential ways” for Mexi… https://t.co/zN3CeFk4Co
64,-0.4404,Tue Mar 27 19:01:44 +0000 2018,0.112,0.888,0.0,CNN,"RT @CNNPolitics: Sanders on the $130,000 payoff Trump’s lawyer made to Stormy Daniels: “I can tell you that the President has denied the al…"
65,0.0,Tue Mar 27 18:58:05 +0000 2018,0.0,1.0,0.0,CNN,"Rapper Cardi B unveils ""Invasion of Privacy"" album cover and announces release date https://t.co/RqlrzLo5Jx https://t.co/WgIjn55o2S"
66,0.4939,Tue Mar 27 18:51:32 +0000 2018,0.0,0.814,0.186,CNN,Stormy Daniels' friend says she also plans to sue Michael Cohen for defamation https://t.co/160UBGcY3A https://t.co/DtI4QlhPAb
67,0.128,Tue Mar 27 18:46:51 +0000 2018,0.0,0.923,0.077,CNN,White House press secretary Sarah Sanders on Trump’s legal team: “The President has a highly qualified team with se… https://t.co/dxsY5JHrBN
