,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
29,0.4404,Mon Mar 26 11:48:03 +0000 2018,0.0,0.828,0.172,BBC,Apple wants to introduce new emojis to better represent people with disabilities. ❤️️ https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm
30,-0.5106,Mon Mar 26 11:00:05 +0000 2018,0.163,0.837,0.0,BBC,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj"
31,-0.128,Mon Mar 26 10:00:07 +0000 2018,0.07,0.93,0.0,BBC,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q"
32,0.4588,Mon Mar 26 09:35:06 +0000 2018,0.0,0.864,0.136,BBC,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH
33,0.3182,Mon Mar 26 09:33:01 +0000 2018,0.0,0.753,0.247,BBC,"😂 @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C"
34,0.0,Mon Mar 26 09:04:01 +0000 2018,0.0,1.0,0.0,BBC,"The kiwi bird's egg is so large, it takes almost ten days to lay! 🐦🥚😳  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ"
35,0.5819,Mon Mar 26 08:29:04 +0000 2018,0.0,0.818,0.182,BBC,"🤔Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ"
36,0.2263,Mon Mar 26 07:30:10 +0000 2018,0.09,0.749,0.161,BBC,"Wishing you could get out of bed just that little bit earlier? 😴

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s"
37,0.128,Sun Mar 25 19:44:01 +0000 2018,0.077,0.821,0.101,BBC,"Could this be an answer to global water shortages? 🏜💧 This machine creates water out of thin air. 

https://t.co/caz4nXMJg5"
38,-0.7506,Sun Mar 25 19:15:06 +0000 2018,0.286,0.714,0.0,BBC,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte"
39,0.5719,Sun Mar 25 18:40:04 +0000 2018,0.0,0.837,0.163,BBC,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b"
40,0.0,Sun Mar 25 18:13:03 +0000 2018,0.0,1.0,0.0,BBC,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ⚡️… https://t.co/lFgROYVkv1
41,0.5267,Sun Mar 25 17:30:07 +0000 2018,0.0,0.815,0.185,BBC,"When you're enjoying being single and people just can't deal with it. 🙄😂 @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq"
42,0.4588,Sun Mar 25 15:03:03 +0000 2018,0.0,0.833,0.167,BBC,"🇺🇸🏝🇬🇧 Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ"
43,0.0,Sun Mar 25 14:30:02 +0000 2018,0.0,1.0,0.0,BBC,"💬 We could listen to him speak all day. 

📽 Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13"
44,0.1779,Sun Mar 25 14:09:03 +0000 2018,0.0,0.909,0.091,BBC,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ♻️🌊💔… https://t.co/uKD9BQWmUi"
45,0.5574,Sun Mar 25 13:03:04 +0000 2018,0.0,0.816,0.184,BBC,"👽✨🛸 @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz"
46,0.0,Sun Mar 25 12:03:02 +0000 2018,0.0,1.0,0.0,BBC,"Weighing just 100g, a newborn panda is one 900th the size of its mum! 🐼💕 #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs"
47,0.0,Sun Mar 25 10:30:04 +0000 2018,0.0,1.0,0.0,BBC,🐟Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf
48,-0.3612,Sun Mar 25 09:30:15 +0000 2018,0.161,0.839,0.0,BBC,"Ever wondered what made you feel moody? It might be your gut.

👉 https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn"
49,0.5719,Sun Mar 25 08:43:31 +0000 2018,0.0,0.764,0.236,BBC,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d"
