,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
29,0.6514,Sun Mar 18 18:05:43 +0000 2018,0.0,0.787,0.213,CBS,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju
30,0.1867,Sun Mar 18 17:09:53 +0000 2018,0.0,0.92,0.08,CBS,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…"
31,0.0,Sat Mar 17 19:00:02 +0000 2018,0.0,1.0,0.0,CBS,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp"
32,0.6166,Sat Mar 17 17:42:43 +0000 2018,0.0,0.839,0.161,CBS,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog
33,0.7096,Sat Mar 17 14:00:03 +0000 2018,0.0,0.753,0.247,CBS,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL
34,0.296,Fri Mar 16 22:53:21 +0000 2018,0.0,0.896,0.104,CBS,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i
35,0.0,Fri Mar 16 18:15:53 +0000 2018,0.0,1.0,0.0,CBS,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…"
36,0.6514,Fri Mar 16 16:28:40 +0000 2018,0.0,0.822,0.178,CBS,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP
37,0.7088,Thu Mar 15 17:54:06 +0000 2018,0.0,0.763,0.237,CBS,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…"
38,-0.4939,Thu Mar 15 17:20:26 +0000 2018,0.157,0.766,0.077,CBS,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…
39,0.6514,Thu Mar 15 16:42:41 +0000 2018,0.0,0.806,0.194,CBS,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb
40,0.6115,Thu Mar 15 14:32:16 +0000 2018,0.0,0.734,0.266,CBS,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR
41,0.6696,Wed Mar 14 19:30:01 +0000 2018,0.0,0.781,0.219,CBS,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S"
42,0.3612,Tue Mar 13 18:48:52 +0000 2018,0.0,0.857,0.143,CBS,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…"
43,0.539,Tue Mar 13 14:15:10 +0000 2018,0.0,0.821,0.179,CBS,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI"
44,0.2244,Mon Mar 12 18:13:28 +0000 2018,0.0,0.917,0.083,CBS,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…
45,0.0,Mon Mar 12 01:20:43 +0000 2018,0.0,1.0,0.0,CBS,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…"
46,0.4926,Fri Mar 09 22:48:26 +0000 2018,0.0,0.883,0.117,CBS,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…
